DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,SGDR,5.225277335129745,2.0,5.264990123208814,4.0,5.328236844438143,5.0,5.223492429380724,1.0,5.259115576513079,3.0,5.839044634178392,7.0,5.417368531202209,6.0,min_solid_angle,7.0,MSE
ailerons,SGDR,1.5971805135746662e-07,1.0,2.446820735909492e-07,6.0,2.432817517926632e-07,5.0,2.398646071224637e-07,4.0,2.2070205380735122e-07,2.0,2.456753107705898e-07,7.0,2.2084510100708928e-07,3.0,min_solid_angle,7.0,MSE
cpu_act,SGDR,67.10186689696764,2.0,91.57040797817407,7.0,73.92276838182694,4.0,67.18255567007894,3.0,67.06235119952728,1.0,90.39249428714264,5.0,91.36916358278359,6.0,min_solid_angle,7.0,MSE
autoPrice,SGDR,17949497.88908168,3.0,17056108.13765842,1.0,18080111.141943894,5.0,18986693.32957449,6.0,19167784.83616116,7.0,18051889.124032028,4.0,17169109.750435367,2.0,min_solid_angle,7.0,MSE
cpu_small,SGDR,67.20023743325021,2.0,91.23411890590585,6.0,74.71776557843877,4.0,67.25737877030379,3.0,67.18159738426614,1.0,74.94331892579746,5.0,91.62706692447253,7.0,min_solid_angle,7.0,MSE
bank8FM,SGDR,0.003882078039324511,1.0,0.0044565849116272845,5.0,0.004202306485849029,2.0,0.004457746124741021,6.0,0.004338937718072197,3.0,0.004417283957933062,4.0,0.004514084037920628,7.0,min_solid_angle,7.0,MSE
bank32nh,SGDR,0.008596090328216201,1.0,0.009817871280689871,7.0,0.009023539295879191,2.0,0.009574752031825009,4.0,0.009365335370422443,3.0,0.009649299456558324,5.0,0.009730457446075985,6.0,min_solid_angle,7.0,MSE
elevators,SGDR,4.348915752073964e-05,1.0,5.977320315384414e-05,6.0,7.275685633209217e-05,7.0,5.521147742994607e-05,3.0,5.287206208593187e-05,2.0,5.6412597912448374e-05,5.0,5.600370111287079e-05,4.0,min_solid_angle,7.0,MSE
fried,SGDR,9.640472968307373,1.0,11.71070416879856,5.0,10.415355674590224,2.0,11.111420439570713,4.0,10.877796993884013,3.0,12.351323031219517,6.0,12.672675432124965,7.0,min_solid_angle,7.0,MSE
puma32H,SGDR,0.0007263959263258237,1.0,0.0008617521806734388,4.0,0.0009995473944509699,7.0,0.0009216360251522236,6.0,0.0008668468552345362,5.0,0.0008181249397889433,2.0,0.0008278016602331691,3.0,min_solid_angle,7.0,MSE
