DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,RFR,10.782,5.0,10.739257450326702,3.0,11.069381394641333,7.0,10.725999999999999,2.0,10.755999999999998,4.0,9.842149671465776,1.0,10.924476756418908,6.0,solid_angle,4.0,MAX
ailerons,RFR,0.0020479022541610627,6.0,0.001771349565247599,1.0,0.0019006708871118871,5.0,0.001812304879012984,2.0,0.0018481449016430774,3.0,0.003109785327725105,7.0,0.0018973437342231613,4.0,solid_angle,4.0,MAX
cpu_act,RFR,18.502,4.0,17.192,1.0,18.59,5.0,18.304000000000002,3.0,18.618,7.0,17.53995758134322,2.0,18.59818475660233,6.0,solid_angle,4.0,MAX
autoPrice,RFR,7728.431999999999,4.0,6307.789198499224,1.0,7297.604330105616,2.0,8018.842932286189,6.0,7855.118149100602,5.0,8112.892436596143,7.0,7328.009129048481,3.0,solid_angle,4.0,MAX
cpu_small,RFR,18.428,4.0,17.878521934590328,2.0,19.616,5.0,17.860000000000007,1.0,18.270000000000003,3.0,20.580000000000005,6.0,27.56751801141231,7.0,solid_angle,4.0,MAX
bank8FM,RFR,0.20199284686666655,6.0,0.19677591847006976,2.0,0.20037007827007974,4.0,0.1973648961140512,3.0,0.2013441204744318,5.0,0.2134263610590851,7.0,0.19009235117138346,1.0,solid_angle,4.0,MAX
bank32nh,RFR,0.4828167454512046,7.0,0.4439218710571081,1.0,0.4819004798768903,6.0,0.474564751557932,5.0,0.471007662795042,4.0,0.4600870218767985,2.0,0.4673384873083332,3.0,solid_angle,4.0,MAX
elevators,RFR,0.037977889952737334,7.0,0.03350598398771003,1.0,0.03481025001017034,3.0,0.03592154179114826,4.0,0.036247756329312,5.0,0.036884727489907766,6.0,0.03416387048703297,2.0,solid_angle,4.0,MAX
fried,RFR,12.323999999999998,3.0,13.943860901075064,6.0,12.236899425006552,1.0,12.468121261301182,4.0,12.272200941927064,2.0,14.176244825520515,7.0,13.082846012897358,5.0,solid_angle,4.0,MAX
puma32H,RFR,0.04194978503412698,1.0,0.05178798196235422,3.0,0.05458752556392983,5.0,0.06594319567026925,7.0,0.05857701442876076,6.0,0.054578795518796,4.0,0.042835702881323434,2.0,solid_angle,4.0,MAX
