DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,RFR,1.5450764117697615,2.0,1.6709655741057958,7.0,1.5684502495532076,4.0,1.5446020628599262,1.0,1.5459006933501416,3.0,1.6427604550643733,5.0,1.6684655102084072,6.0,max_solid_angle,4.0,MAE
ailerons,RFR,0.00023262394725789482,2.0,0.00024555028282468466,7.0,0.00024277545735699047,3.0,0.00024443205216516866,5.0,0.00024412413683719966,4.0,0.00023215025346049218,1.0,0.00024480575486204403,6.0,max_solid_angle,4.0,MAE
cpu_act,RFR,2.023547181379396,1.0,2.1002716840411497,6.0,2.078986505664358,5.0,2.0300949415982967,3.0,2.0281388998771552,2.0,2.0623852279412387,4.0,2.1081159029514778,7.0,max_solid_angle,4.0,MAE
autoPrice,RFR,1355.1057322244624,1.0,1402.1884534047585,4.0,1391.8159164909016,3.0,1441.206262889896,7.0,1414.4816401936364,5.0,1436.190760344839,6.0,1358.2812491210304,2.0,max_solid_angle,4.0,MAE
cpu_small,RFR,2.20821135315095,3.0,2.302041030564941,5.0,2.3076080682926317,7.0,2.204427343722646,2.0,2.2001209454229587,1.0,2.2956375593087013,4.0,2.304402820244505,6.0,max_solid_angle,4.0,MAE
bank8FM,RFR,0.0281091292141376,1.0,0.028533744024739183,3.0,0.02916328558081192,6.0,0.028234052680385573,2.0,0.028702356850940525,5.0,0.030831690367506718,7.0,0.028595236836741558,4.0,max_solid_angle,4.0,MAE
bank32nh,RFR,0.05569966120381833,1.0,0.06183074653725645,6.0,0.059285232472073436,3.0,0.061822470303949176,5.0,0.06196228780986141,7.0,0.0583235030180536,2.0,0.06078550009804155,4.0,max_solid_angle,4.0,MAE
elevators,RFR,0.0029609011681674077,1.0,0.003218999452516577,6.0,0.0033115737137344053,7.0,0.0030806615338678104,3.0,0.0031024924329632704,4.0,0.002981083531918973,2.0,0.0032153091765073747,5.0,max_solid_angle,4.0,MAE
fried,RFR,1.7832235276367498,1.0,1.8590444394857115,5.0,1.8402918959575936,4.0,1.8126398329318512,2.0,1.8364139714891208,3.0,2.104468157689334,7.0,1.8940092063235927,6.0,max_solid_angle,4.0,MAE
puma32H,RFR,0.008082284393883952,1.0,0.0099259040129682,7.0,0.008560664846791362,3.0,0.009449926762430493,5.0,0.00917705918958222,4.0,0.008330306542030517,2.0,0.00948684995694366,6.0,max_solid_angle,4.0,MAE
