DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,RNR,16.438614174170834,2.0,16.53547753931688,4.0,16.778663363028677,7.0,16.438614174170834,2.0,16.438614174170834,2.0,16.54288534439857,5.0,16.544147911904368,6.0,solid_angle,3.0,MAX
ailerons,RNR,0.0024919238425014033,6.0,0.0021923123947812707,1.0,0.0021943038588672255,3.0,0.002192628853059086,2.0,0.0022345419090022693,4.0,0.002533767186638826,7.0,0.002272297483612109,5.0,solid_angle,3.0,MAX
cpu_act,RNR,44.47154768571114,5.0,31.74532100650923,1.0,54.13184660448386,7.0,44.47154768571114,5.0,44.47154768571114,5.0,31.833313080036326,2.0,39.182341524190655,3.0,solid_angle,3.0,MAX
autoPrice,RNR,15935.002989665354,7.0,14617.480619912625,1.0,14877.976736575427,4.0,15820.024531268142,6.0,15792.423296224017,5.0,14717.204327951773,2.0,14781.867807252662,3.0,solid_angle,3.0,MAX
cpu_small,RNR,44.52034921986755,4.0,31.616397272188287,1.0,54.54714326131178,6.0,44.52034921986755,4.0,44.52034921986755,4.0,54.85182055546584,7.0,38.40566784603901,2.0,solid_angle,3.0,MAX
bank8FM,RNR,0.5328898713473338,7.0,0.4100129181208729,1.0,0.4529501110004374,5.0,0.4524394344369512,4.0,0.46940752341897896,6.0,0.4108847077993912,2.0,0.4113143943737608,3.0,solid_angle,3.0,MAX
bank32nh,RNR,0.6036226908432049,7.0,0.5234301824366749,1.0,0.5668446020831072,5.0,0.559034526187355,4.0,0.5699241449317856,6.0,0.5287688200984633,2.0,0.5290903425860085,3.0,solid_angle,3.0,MAX
elevators,RNR,0.05020009946462691,7.0,0.04617961012995191,2.0,0.04471565384013028,1.0,0.046726605998185344,4.0,0.04724349438067919,6.0,0.04663291034145617,3.0,0.04704651950424135,5.0,solid_angle,3.0,MAX
fried,RNR,15.4784964530125,6.0,15.442232790189696,3.0,15.431032245536807,2.0,15.466335777280095,4.0,15.476915453219073,5.0,15.208155241026725,1.0,15.48996513978673,7.0,solid_angle,3.0,MAX
puma32H,RNR,0.07633534868304008,1.0,0.09030094605423272,5.0,0.09747297353245653,7.0,0.09219983946447888,6.0,0.08684100689126187,3.0,0.08758851159294036,4.0,0.08557066810887358,2.0,solid_angle,3.0,MAX
