ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.5,5.1,3.9,3.5,4.7,3.5,MSE
ABR,2.5,3.8,5.4,3.4,3.2,6.0,3.7,MSE
KNNR,1.4,6.2,4.9,3.7,3.4,4.4,4.0,MSE
MLPR,2.2,4.3,4.7,4.2,3.8,4.7,4.1,MSE
SGDR,1.5,5.2,4.4,4.2,3.3,5.2,4.2,MSE
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,MSE
GBR,1.7,4.7,5.0,3.4,2.6,5.9,4.7,MSE
RFR,1.9,4.9,5.0,3.3,2.9,5.1,4.9,MSE
avarage,1.99,4.89,4.99,3.72,3.16,5.04,4.21,MSE
std,0.49,0.75,0.34,0.35,0.43,0.64,0.49,MSE
