ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.0,5.8,4.0,3.9,4.85,2.0,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
ABR,3.1,3.8,4.6,4.0,3.5,5.8,3.2,MAX
RFR,4.8,2.2,4.5,3.7,4.4,4.9,3.5,MAX
MLPR,3.4,4.0,4.6,4.6,3.7,4.2,3.5,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.6,3.8,MAX
GBR,3.7,2.6,4.7,3.5,3.7,6.0,3.8,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.2,4.1,MAX
avarage,4.08,3.19,4.7,4.02,4.01,4.67,3.32,MAX
std,0.78,0.81,0.55,0.33,0.4,0.98,0.68,MAX
