ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.6,4.8,4.3,3.8,4.8,3.5,R2score
GBR,2.0,5.2,4.7,3.5,2.8,5.8,4.0,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
ABR,2.3,3.6,5.4,3.4,3.0,6.0,4.3,R2score
RFR,2.0,4.9,5.0,3.5,2.9,5.1,4.6,R2score
KNNR,1.4,6.3,4.8,3.5,3.1,4.3,4.6,R2score
SGDR,1.3,5.3,4.3,4.0,3.0,4.9,5.2,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.95,4.96,4.94,3.7,3.04,4.93,4.49,R2score
std,0.44,0.8,0.37,0.31,0.44,0.7,0.64,R2score
