ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.3,4.8,4.2,4.1,4.6,3.7,MAE
SVR,2.8,4.3,5.4,3.0,3.1,5.4,4.0,MAE
KNNR,1.4,6.2,4.8,3.6,3.5,4.4,4.1,MAE
GBR,1.4,5.1,5.0,3.5,3.2,5.5,4.3,MAE
ABR,2.1,4.0,5.3,3.4,3.1,5.7,4.4,MAE
SGDR,1.4,5.2,4.1,4.1,3.3,5.1,4.8,MAE
RFR,1.4,5.7,4.5,3.5,3.8,4.0,5.1,MAE
RNR,2.1,5.8,4.3,3.8,2.6,4.2,5.2,MAE
avarage,1.86,5.07,4.78,3.64,3.34,4.86,4.45,MAE
std,0.54,0.81,0.46,0.39,0.46,0.65,0.54,MAE
