ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.7,4.0,3.9,4.65,2.2,MAX
SVR,4.2,3.4,5.0,4.2,3.9,4.9,2.4,MAX
ABR,3.1,3.8,4.6,3.9,3.6,5.8,3.2,MAX
RNR,5.2,2.2,4.7,4.2,4.5,3.9,3.3,MAX
MLPR,3.4,3.9,4.6,4.6,3.9,4.0,3.6,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.5,3.6,MAX
GBR,3.8,2.6,4.8,3.6,3.5,6.1,3.6,MAX
RFR,4.8,2.1,4.3,3.7,4.3,4.9,3.9,MAX
avarage,4.08,3.24,4.69,4.04,4.01,4.72,3.22,MAX
std,0.79,0.82,0.55,0.32,0.38,0.91,0.61,MAX
