ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.7,4.0,3.9,4.75,2.1,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
MLPR,3.3,4.0,4.5,4.6,3.9,4.1,3.6,MAX
ABR,3.1,3.6,4.6,3.7,3.5,5.8,3.7,MAX
GBR,3.8,2.5,4.8,3.5,3.6,6.0,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.5,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.3,4.0,MAX
RFR,4.7,2.2,4.3,3.6,4.2,4.9,4.1,MAX
avarage,4.06,3.18,4.66,3.96,4.01,4.64,3.49,MAX
std,0.79,0.84,0.54,0.36,0.39,0.98,0.71,MAX
