ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.5,5.1,3.9,3.5,4.5,3.7,R2score
MLPR,2.2,4.4,4.9,4.2,3.8,4.7,3.8,R2score
ABR,2.3,3.7,5.4,3.5,3.2,6.0,3.9,R2score
KNNR,1.3,6.4,4.9,3.6,3.4,4.4,4.0,R2score
GBR,1.9,5.0,4.8,3.5,2.9,5.7,4.2,R2score
RFR,2.0,5.1,5.0,3.5,2.8,5.1,4.5,R2score
RNR,1.8,5.4,5.4,3.7,2.6,4.3,4.8,R2score
SGDR,1.3,5.1,4.2,4.2,3.2,5.1,4.9,R2score
avarage,1.95,4.95,4.96,3.76,3.18,4.98,4.22,R2score
std,0.5,0.79,0.38,0.3,0.4,0.62,0.46,R2score
