ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
ABR,2.3,4.0,5.2,3.4,3.3,5.6,4.2,MAE
MLPR,2.3,4.0,4.7,4.1,4.0,4.4,4.5,MAE
KNNR,1.3,6.1,4.7,3.5,3.4,4.3,4.7,MAE
GBR,1.4,5.0,4.9,3.4,3.0,5.5,4.8,MAE
SGDR,1.4,5.2,4.0,4.0,3.1,4.9,5.4,MAE
RFR,1.4,5.5,4.3,3.5,3.8,3.9,5.6,MAE
RNR,2.1,5.8,4.3,3.7,2.5,3.9,5.7,MAE
avarage,1.88,4.96,4.69,3.58,3.28,4.74,4.89,MAE
std,0.57,0.84,0.48,0.35,0.47,0.71,0.61,MAE
