ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.1,5.4,3.5,3.1,5.8,3.9,MAE
SVR,2.8,4.2,5.4,3.0,3.1,5.4,4.1,MAE
MLPR,2.3,4.1,4.7,4.1,4.0,4.5,4.3,MAE
GBR,1.5,5.1,4.8,3.4,3.1,5.5,4.6,MAE
KNNR,1.3,6.1,4.7,3.5,3.4,4.3,4.7,MAE
RFR,1.4,5.7,4.3,3.7,3.7,4.0,5.2,MAE
SGDR,1.4,5.2,4.1,4.0,3.1,4.9,5.3,MAE
RNR,2.1,5.8,4.3,3.8,2.5,3.9,5.6,MAE
avarage,1.88,5.04,4.71,3.62,3.25,4.79,4.71,MAE
std,0.55,0.81,0.49,0.35,0.45,0.72,0.61,MAE
