ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.0,5.8,3.8,3.7,4.75,2.6,MAX
SVR,4.2,3.2,5.0,4.2,3.9,4.9,2.6,MAX
MLPR,3.6,4.0,4.7,4.6,3.9,4.0,3.2,MAX
ABR,3.2,3.7,4.6,3.9,3.6,5.8,3.2,MAX
RFR,4.9,2.2,4.3,3.8,4.4,5.0,3.4,MAX
RNR,5.2,2.1,4.7,4.1,4.5,3.8,3.6,MAX
GBR,3.7,2.6,4.8,3.5,3.4,6.1,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.4,4.0,MAX
avarage,4.12,3.18,4.71,3.99,3.98,4.72,3.31,MAX
std,0.77,0.78,0.57,0.33,0.41,0.95,0.53,MAX
